Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1795.010295
FDW14,OUT017,1416.160744
NCN55,OUT010,624.0598082
FDQ58,OUT017,2160.086945
FDY38,OUT027,5274.142565
FDH56,OUT046,2010.837662
FDL48,OUT018,822.7523305
FDC48,OUT027,2259.578295
FDN33,OUT045,1526.455978
FDA36,OUT017,2848.207157
FDT44,OUT017,1848.857391
FDQ56,OUT045,1603.671807
NCC54,OUT019,669.2398269
FDU11,OUT049,2079.71778
DRL59,OUT013,806.0106552
FDM24,OUT049,2555.144208
FDI57,OUT045,3783.394537
DRC12,OUT018,3130.481462
NCM42,OUT027,2797.595573
FDA46,OUT010,463.2548315
FDA31,OUT013,3108.260305
NCJ31,OUT035,3442.397012
FDG52,OUT046,845.6724406
NCL19,OUT019,318.5544667
FDS10,OUT035,3330.699079
FDX22,OUT010,508.2484378
NCF19,OUT035,829.8639369
NCE06,OUT046,2552.005235
DRC27,OUT046,3648.983527
FDE21,OUT035,2142.58701
NCR42,OUT019,142.4922764
FDX51,OUT018,2631.38524
NCR06,OUT018,753.2747851
FDU31,OUT027,5310.172408
FDU59,OUT017,2239.977396
FDR03,OUT027,5364.31095
FDS49,OUT027,2400.904754
FDD48,OUT010,221.1878494
NCF18,OUT017,3107.503857
NCD43,OUT027,2645.106426
NCD54,OUT018,1984.575359
FDY19,OUT010,244.1208633
NCY54,OUT017,2548.74564
NCL19,OUT018,2042.839063
FDP23,OUT010,563.3093418
FDC26,OUT013,1972.116196
FDR14,OUT010,199.85138
NCS41,OUT035,3035.937546
FDF41,OUT035,3774.123161
FDU34,OUT046,2061.554693
DRH11,OUT046,1042.423278
FDM03,OUT013,2023.377675
FDS31,OUT017,3108.744197
FDJ20,OUT017,2236.412393
FDV44,OUT027,4819.010138
FDG02,OUT049,2826.522878
FDA09,OUT013,3630.486724
FDT04,OUT013,676.8198345
FDL58,OUT019,579.475302
FDE52,OUT045,1387.529719
FDW12,OUT035,2680.667582
FDL51,OUT017,3315.704799
NCY42,OUT027,3187.96635
FDR07,OUT017,1974.546264
FDN40,OUT045,2384.74506
FDB35,OUT027,2582.552661
FDA22,OUT017,2789.544067
NCL06,OUT046,3793.615802
FDI35,OUT013,3253.390964
NCW42,OUT045,3431.316747
NCX06,OUT049,3367.329939
FDC37,OUT027,2593.628629
FDZ14,OUT018,1740.05857
DRG49,OUT049,4471.45931
NCG06,OUT045,3477.4298
DRC36,OUT045,2647.96848
FDV21,OUT019,349.8563143
FDB53,OUT046,2874.402968
DRP47,OUT019,583.7269654
FDA14,OUT013,2251.816558
DRC24,OUT035,2771.915911
FDW21,OUT018,1504.639104
NCH29,OUT046,2042.912476
FDU58,OUT013,2902.462948
FDY27,OUT017,2486.73138
FDV56,OUT035,1959.087931
FDT59,OUT046,4113.106436
FDB23,OUT046,3514.076909
FDR49,OUT045,888.7475576
FDB03,OUT010,616.5208961
FDN39,OUT045,2734.116038
FDX02,OUT027,5137.119436
FDQ16,OUT027,2777.960459
FDU35,OUT018,1568.971628
NCT29,OUT013,1801.919767
FDZ27,OUT046,864.0110485
FDN57,OUT017,2344.106775
FDA03,OUT018,2029.90962
FDZ36,OUT045,3431.403295
NCU05,OUT013,1236.062321
FDT39,OUT018,2230.03326
FDK60,OUT017,1697.128809
FDZ25,OUT017,2993.59195
FDG12,OUT046,2426.460683
DRB01,OUT019,446.948349
NCC43,OUT027,5678.580193
FDX13,OUT019,620.1950384
FDM22,OUT049,939.3505079
FDJ03,OUT027,1914.787099
FDU14,OUT018,3744.783351
FDB33,OUT010,403.1098196
FDP27,OUT046,3322.585854
FDO38,OUT010,191.0084438
FDE28,OUT027,5430.235294
FDO27,OUT035,1731.9841
DRL23,OUT027,2636.007741
FDS28,OUT046,981.5139418
FDX24,OUT013,1270.322511
FDZ02,OUT035,1395.359691
FDL46,OUT045,1637.342909
FDS60,OUT027,4362.226496
NCO06,OUT017,675.7320111
FDO16,OUT035,1593.315512
FDC60,OUT049,1559.090307
FDA48,OUT018,3312.27158
FDZ36,OUT027,4580.391914
FDK27,OUT045,1898.427891
FDW23,OUT018,791.1550054
FDM14,OUT018,1510.715135
FDM14,OUT013,1639.055352
FDW60,OUT018,2648.83251
FDE21,OUT013,1910.309667
NCM42,OUT035,1998.411475
FDY59,OUT010,188.5693196
DRI49,OUT049,1485.807314
FDT28,OUT019,308.0578105
FDQ22,OUT018,736.9316248
FDR60,OUT049,1159.556241
FDC50,OUT019,326.2781004
FDV24,OUT013,2554.724899
DRF48,OUT010,539.8938502
FDQ47,OUT046,934.2192536
DRN36,OUT049,1726.339336
NCY06,OUT035,2096.814635
FDE52,OUT035,1436.052912
NCB54,OUT045,1774.641851
NCF31,OUT035,2576.019796
FDJ08,OUT027,4881.748404
NCC07,OUT017,1867.794013
NCD19,OUT027,2030.862867
FDL46,OUT049,1877.941931
FDM20,OUT045,4000.043751
NCI06,OUT010,450.9293527
DRM11,OUT035,4005.046023
NCH07,OUT018,2417.177739
FDS23,OUT013,2096.441221
FDO49,OUT018,823.2496443
FDS35,OUT049,1107.772009
DRK39,OUT045,1379.082353
DRI39,OUT049,930.4569275
FDV04,OUT017,2049.857399
NCN14,OUT035,2712.242622
FDH08,OUT013,3730.1129
FDS20,OUT046,2956.228728
FDV40,OUT049,1138.470538
FDZ48,OUT010,214.1250061
FDS24,OUT027,2591.175943
FDK44,OUT049,2602.096407
FDS48,OUT045,2280.890447
FDK26,OUT010,501.5566177
FDD23,OUT045,3185.433329
NCH54,OUT017,2757.482472
NCP14,OUT010,242.9926018
FDM60,OUT010,142.5999685
FDV24,OUT017,2490.290302
FDH08,OUT018,3192.916413
FDS12,OUT027,3239.482426
FDR39,OUT027,4810.046473
FDP12,OUT027,1714.746145
DRF60,OUT027,4982.767093
FDC09,OUT035,1875.861318
FDF50,OUT018,2905.661461
FDG28,OUT035,3769.453957
NCE19,OUT017,901.6429803
NCM53,OUT010,297.5299435
NCN18,OUT049,1624.474305
FDF32,OUT035,3429.550607
FDF11,OUT013,3499.820398
DRI59,OUT049,3889.854211
NCG54,OUT035,3027.279197
FDM44,OUT046,1582.454693
FDT57,OUT018,2483.648353
FDV24,OUT046,2662.096313
FDI50,OUT019,620.0085836
FDS09,OUT035,950.1257371
NCC31,OUT027,4252.862507
FDQ07,OUT019,469.1087171
FDC22,OUT017,2966.440973
FDZ56,OUT046,2499.416146
FDZ40,OUT019,170.0909614
FDS46,OUT027,2898.623466
DRD24,OUT045,1915.995371
FDV45,OUT017,3234.007493
FDL26,OUT045,2823.126262
FDA56,OUT018,1516.288966
