Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1856.984843
FDW14,OUT017,1449.544621
NCN55,OUT010,1389.262746
FDQ58,OUT017,2418.616027
FDY38,OUT027,4693.186341
FDH56,OUT046,1658.887741
FDL48,OUT018,681.0263257
FDC48,OUT027,2016.821184
FDN33,OUT045,1403.687203
FDA36,OUT017,2882.551992
FDT44,OUT017,1835.708113
FDQ56,OUT045,1242.546636
NCC54,OUT019,542.9333631
FDU11,OUT049,1807.434713
DRL59,OUT013,852.4401509
FDM24,OUT049,2045.127057
FDI57,OUT045,2676.337647
DRC12,OUT018,2319.91353
NCM42,OUT027,2655.944039
FDA46,OUT010,763.917202
FDA31,OUT013,2459.971076
NCJ31,OUT035,3392.414342
FDG52,OUT046,855.7046329
NCL19,OUT019,655.6566784
FDS10,OUT035,2902.45361
FDX22,OUT010,1552.392433
NCF19,OUT035,877.9706846
NCE06,OUT046,1972.436792
DRC27,OUT046,2776.835797
FDE21,OUT035,1877.902778
NCR42,OUT019,115.8912602
FDX51,OUT018,2303.305719
NCR06,OUT018,552.2705494
FDU31,OUT027,4786.302325
FDU59,OUT017,2387.420703
FDR03,OUT027,4377.300523
FDS49,OUT027,2148.847672
FDD48,OUT010,1175.067965
NCF18,OUT017,2796.089761
NCD43,OUT027,2531.826353
NCD54,OUT018,1893.823127
FDY19,OUT010,919.3220727
NCY54,OUT017,2379.962714
NCL19,OUT018,1869.027272
FDP23,OUT010,1430.913368
FDC26,OUT013,1755.609918
FDR14,OUT010,230.8932471
NCS41,OUT035,2622.57045
FDF41,OUT035,3430.721094
FDU34,OUT046,1679.178388
DRH11,OUT046,998.5751506
FDM03,OUT013,1682.240881
FDS31,OUT017,2689.082979
FDJ20,OUT017,1865.098904
FDV44,OUT027,4162.850536
FDG02,OUT049,2532.338831
FDA09,OUT013,2543.414623
FDT04,OUT013,615.985486
FDL58,OUT019,905.4429178
FDE52,OUT045,1376.448105
FDW12,OUT035,2186.053009
FDL51,OUT017,3344.376768
NCY42,OUT027,3259.34301
FDR07,OUT017,1515.530289
FDN40,OUT045,1980.530812
FDB35,OUT027,2241.420981
FDA22,OUT017,2377.103424
NCL06,OUT046,2968.13307
FDI35,OUT013,2494.914176
NCW42,OUT045,2945.145499
NCX06,OUT049,2524.650934
FDC37,OUT027,2555.256542
FDZ14,OUT018,1621.637325
DRG49,OUT049,3222.488014
NCG06,OUT045,3565.644614
DRC36,OUT045,2224.601527
FDV21,OUT019,266.4999797
FDB53,OUT046,1775.02501
DRP47,OUT019,530.6555059
FDA14,OUT013,2080.542449
DRC24,OUT035,2365.19127
FDW21,OUT018,1341.1108
NCH29,OUT046,1507.61401
FDU58,OUT013,2659.652376
FDY27,OUT017,2714.121104
FDV56,OUT035,1807.385714
FDT59,OUT046,2730.554312
FDB23,OUT046,2877.444842
FDR49,OUT045,744.2589668
FDB03,OUT010,945.5965161
FDN39,OUT045,2325.874365
FDX02,OUT027,4610.671536
FDQ16,OUT027,2534.128578
FDU35,OUT018,1423.704798
NCT29,OUT013,1821.1966
FDZ27,OUT046,826.1182919
FDN57,OUT017,2218.979564
FDA03,OUT018,1814.737009
FDZ36,OUT045,2495.417877
NCU05,OUT013,1328.106887
FDT39,OUT018,1955.87636
FDK60,OUT017,1525.325706
FDZ25,OUT017,2570.149363
FDG12,OUT046,1772.127714
DRB01,OUT019,534.0897446
NCC43,OUT027,5151.155701
FDX13,OUT019,912.6666859
FDM22,OUT049,994.640285
FDJ03,OUT027,1445.498008
FDU14,OUT018,3250.297772
FDB33,OUT010,1340.40925
FDP27,OUT046,2146.482379
FDO38,OUT010,695.806976
FDE28,OUT027,4641.534837
FDO27,OUT035,1572.545674
DRL23,OUT027,2487.289114
FDS28,OUT046,1038.765929
FDX24,OUT013,1421.190949
FDZ02,OUT035,1607.206514
FDL46,OUT045,1689.002077
FDS60,OUT027,3776.273973
NCO06,OUT017,366.0468757
FDO16,OUT035,1381.071244
FDC60,OUT049,1432.096125
FDA48,OUT018,2566.89487
FDZ36,OUT027,3938.597498
FDK27,OUT045,1698.359961
FDW23,OUT018,531.6491875
FDM14,OUT018,1475.542404
FDM14,OUT013,1702.798749
FDW60,OUT018,2260.346414
FDE21,OUT013,1825.156394
NCM42,OUT035,1788.333544
FDY59,OUT010,1010.876201
DRI49,OUT049,1562.210369
FDT28,OUT019,576.4001364
FDQ22,OUT018,502.985803
FDR60,OUT049,1305.583393
FDC50,OUT019,306.5215793
FDV24,OUT013,2104.711213
DRF48,OUT010,1419.308693
FDQ47,OUT046,841.1794975
DRN36,OUT049,1459.932802
NCY06,OUT035,2009.667861
FDE52,OUT035,1486.770385
NCB54,OUT045,1754.656158
NCF31,OUT035,2271.170278
FDJ08,OUT027,4095.711118
NCC07,OUT017,1793.058479
NCD19,OUT027,1422.206123
FDL46,OUT049,2009.219082
FDM20,OUT045,3325.028652
NCI06,OUT010,1257.288414
DRM11,OUT035,3886.881274
NCH07,OUT018,1958.56154
FDS23,OUT013,1856.369626
FDO49,OUT018,719.8730898
FDS35,OUT049,1155.355299
DRK39,OUT045,1213.33373
DRI39,OUT049,1004.6938
FDV04,OUT017,2309.843989
NCN14,OUT035,2611.818664
FDH08,OUT013,3504.217619
FDS20,OUT046,2201.964201
FDV40,OUT049,1282.092179
FDZ48,OUT010,876.334379
FDS24,OUT027,2203.274322
FDK44,OUT049,2228.631277
FDS48,OUT045,2083.466051
FDK26,OUT010,1488.901287
FDD23,OUT045,2453.53498
NCH54,OUT017,2344.496553
NCP14,OUT010,550.266784
FDM60,OUT010,692.3519527
FDV24,OUT017,2173.495294
FDH08,OUT018,2893.32075
FDS12,OUT027,2979.141195
FDR39,OUT027,3807.677688
FDP12,OUT027,1130.07898
DRF60,OUT027,4880.843639
FDC09,OUT035,1702.684463
FDF50,OUT018,2505.355137
FDG28,OUT035,3644.869429
NCE19,OUT017,916.1772046
NCM53,OUT010,917.5279083
NCN18,OUT049,1692.537189
FDF32,OUT035,2914.749119
FDF11,OUT013,3274.749992
DRI59,OUT049,2818.595702
NCG54,OUT035,2401.482859
FDM44,OUT046,1475.418026
FDT57,OUT018,2877.245005
FDV24,OUT046,1895.93814
FDI50,OUT019,1028.243718
FDS09,OUT035,919.951287
NCC31,OUT027,3496.265756
FDQ07,OUT019,693.6915185
FDC22,OUT017,2763.10459
FDZ56,OUT046,2142.74787
FDZ40,OUT019,150.0607348
FDS46,OUT027,2759.519876
DRD24,OUT045,1908.919213
FDV45,OUT017,2886.540286
FDL26,OUT045,2094.95065
FDA56,OUT018,1601.55534
FDN27,OUT046,1587.774079
FDM20,OUT049,3284.184465
FDO16,OUT017,1338.213655
FDL03,OUT035,2964.449057
FDE58,OUT046,1652.771429
FDI02,OUT027,2729.497873
NCC55,OUT019,15.65185
FDR03,OUT018,2368.802553
FDB14,OUT017,1436.141641
FDR45,OUT013,3425.190011
NCN07,OUT017,2081.812067
FDM51,OUT019,633.1277908
FDT52,OUT027,5087.768899
FDL26,OUT046,1912.321118
NCZ42,OUT046,2857.424437
DRI47,OUT019,668.4360165
FDW40,OUT013,1970.250462
FDN34,OUT046,2168.15804
FDS01,OUT035,2701.639533
NCG55,OUT045,1694.897389
FDC11,OUT035,1225.7702
FDX35,OUT018,2914.946187
NCB06,OUT046,1918.041628
FDR09,OUT019,678.1527959
FDC53,OUT017,1566.273709
FDY45,OUT013,4051.196436
FDA22,OUT010,963.8797619
FDE02,OUT035,1521.463143
FDW21,OUT045,1577.500919
FDV34,OUT046,1230.889712
FDS59,OUT049,1568.193447
NCW17,OUT017,2072.922093
NCK54,OUT046,1612.22277
FDG17,OUT019,1094.028636
FDG35,OUT017,2860.367215
FDD08,OUT010,385.7035633
NCO07,OUT017,3200.100383
FDJ10,OUT010,470.4441049
FDW36,OUT017,1661.060618
FDW21,OUT010,907.4239232
FDY19,OUT017,1961.688331
DRE03,OUT013,696.8221013
NCC55,OUT049,742.4687877
FDH52,OUT010,833.6049667
FDO09,OUT017,3850.877765
FDU43,OUT045,3375.90627
FDX09,OUT010,1099.126125
FDH40,OUT019,451.0660371
FDW58,OUT017,1808.447793
FDC47,OUT017,3159.093999
NCR41,OUT035,1607.707372
DRG49,OUT035,3524.609351
FDC52,OUT027,3391.363276
FDY13,OUT046,1222.704496
FDY35,OUT013,818.331611
FDI35,OUT017,2661.542298
NCU18,OUT049,1905.143271
FDY33,OUT018,1955.314259
FDC15,OUT027,3471.78486
FDU01,OUT049,2666.503958
NCU42,OUT046,2089.108481
NCV29,OUT018,2179.536735
NCY30,OUT017,2999.751087
FDQ46,OUT049,1635.084763
FDG58,OUT027,3329.550834
FDK33,OUT017,3481.307706
NCD07,OUT045,1621.07236
NCX29,OUT027,3183.711666
NCT42,OUT013,2202.645941
DRN59,OUT035,823.0194271
FDI44,OUT035,1278.024273
FDA45,OUT049,2477.716566
FDP31,OUT045,788.8631522
FDY01,OUT046,1616.408758
FDT09,OUT018,1657.88711
DRH03,OUT027,2308.858158
FDA36,OUT018,2362.139265
NCF31,OUT017,2270.984902
FDG14,OUT049,1951.229573
FDG28,OUT027,5094.571527
FDU14,OUT049,3415.990018
FDY47,OUT019,712.063742
FDI56,OUT049,1381.330275
DRD01,OUT013,1037.269534
FDM22,OUT046,975.8467103
